tool	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 
run set	lpg	lpg	lpg	lpg	lpg	lpg	lpg	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small
/home/nitin/app/benchmarks/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_EIGHT50_1.yml	true	185.430462	185.5002005007118	295.952384	4966	185.0386784542352	0.263661066070199	true	16.422719	16.462604857981205	273.047552	4501	16.02331303898245	0.26572485268116
AIJ_Barman_EIGHT50_10.yml	true	94.405856	94.43696516938508	288.591872	5200	93.96452420670539	0.28180090803653	true	27.34709	27.380704921670258	276.148224	3846	26.93289530556649	0.26796702668070793
AIJ_Barman_EIGHT50_11.yml	false	1799.112512	1799.4882240109146	430.522368		-1	0.2723603779450059	true	550.644056	550.7977258479223	437.944320	48991	550.3052532738075	0.2680810196325183
AIJ_Barman_EIGHT50_12.yml	false	1799.168697	1799.4754690360278	457.166848		-1	0.2691544583067298	true	554.876223	555.0061234645545	416.649216	52499	554.5180832231417	0.2642196826636791
AIJ_Barman_EIGHT50_13.yml	false	1799.093019	1799.4762207409367	428.064768		-1	0.2721073618158698	true	314.701585	314.7683987133205	330.457088	33037	314.26928872801363	0.2722520548850298
AIJ_Barman_EIGHT50_14.yml	true	709.812408	710.0892298035324	339.050496	25127	709.6305450135842	0.26900158263742924	true	187.397329	187.4314780831337	290.951168	15341	186.97430926095694	0.2694414285942912
AIJ_Barman_EIGHT50_15.yml	true	903.340219	903.5598070640117	338.911232	34909	903.0870751133189	0.27150860521942377	true	256.058258	256.10718170553446	299.175936	21530	255.64601088687778	0.2645193273201585
AIJ_Barman_EIGHT50_16.yml	false	1799.379923	1799.558932418935	512.352256		-1	0.26788153033703566	true	62.912837	62.93141187354922	285.933568	1853	62.459255680441856	0.27035085391253233
AIJ_Barman_EIGHT50_17.yml	false	1799.358026	1799.5632224772125	483.864576		-1	0.263752494007349	true	12.520785	12.535021144896746	280.424448	820	12.092864111997187	0.27003759890794754
AIJ_Barman_EIGHT50_18.yml	false	1798.959447	1799.5583075787872	482.578432		-1	0.26882260479032993	true	12.91442	12.926132612861693	276.889600	453	12.460738942958415	0.2736908858641982
AIJ_Barman_EIGHT50_19.yml	false	1799.382067	1799.582848990336	524.079104		-1	0.28155761305242777	true	44.329671	44.35365047119558	280.829952	1795	43.903069575317204	0.27212516963481903
AIJ_Barman_EIGHT50_2.yml	false	1.833544	1.8396616615355015	278.839296		-1	0.2635131198912859	true	16.450056	16.46122861839831	272.109568	4147	16.02464150171727	0.26523145474493504
AIJ_Barman_EIGHT50_20.yml	false	1799.370286	1799.5645938320085	523.771904		-1	0.27373389806598425	true	121.401751	121.42566807754338	286.498816	5979	120.97408332396299	0.27192383259534836
AIJ_Barman_EIGHT50_3.yml	true	196.44942	196.60477484669536	292.110336	8987	196.03332752827555	0.28759752959012985	true	14.633636	14.644840624183416	273.154048	3413	14.210575489327312	0.2642790339887142
AIJ_Barman_EIGHT50_4.yml	false	5.994666	6.001686593517661	290.844672		-1	0.26365106645971537	true	12.352874	12.367378553375602	272.584704	3120	11.917938373982906	0.2726117754355073
