tool	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 
run set	prp	prp	prp	prp	prp	prp	prp	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0
/home/nitin/app/experiments/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_EIGHT50_1.yml	true	26.0951	26.802834608999547	262.823936	1046	26.210222219997377	0.3227059150012792	true	6.091145	6.200203721004073	36.810752	1209	5.732881322997855	0.2921425639942754
AIJ_Barman_EIGHT50_10.yml	true	38.272543	38.98920426899713	264.380416	1944	38.40718441199715	0.31537286499951733	true	366.94509	367.06486109801335	100.409344	5314	366.58623788299155	0.29344759398372844
AIJ_Barman_EIGHT50_11.yml	true	322.116263	323.02416277700104	263.946240	3724	322.478005455996	0.3171098179955152	true	839.657635	839.8162858849973	172.470272	6051	839.339541075984	0.28775770199717954
AIJ_Barman_EIGHT50_12.yml	true	318.579775	319.2791871510053	264.015872	3895	318.72852985500504	0.31474962199717993	false	1799.317512	1799.4889175709977	172.793856	-1	1799.0035624169977	0.28832331800367683
AIJ_Barman_EIGHT50_13.yml	true	281.69987	282.3930896940001	263.475200	4014	281.84005973199965	0.3183723080001073	false	1799.361552	1799.490406922996	217.010176	-1	1799.003299064003	0.29411550500663
AIJ_Barman_EIGHT50_14.yml	true	355.055344	355.7317188599991	263.618560	4448	355.21659550799814	0.31841058999998495	false	1799.369901	1799.4896002009918	309.239808	-1	1799.0045765429968	0.29013496500556357
AIJ_Barman_EIGHT50_15.yml	true	370.816684	371.4889700480053	263.553024	4644	370.96389426700625	0.31912026699865237	false	1799.38349	1799.4974140170089	215.805952	-1	1799.002290578006	0.29211341799236834
AIJ_Barman_EIGHT50_16.yml	true	22.556642	23.193472923005174	263.733248	217	22.669340958003886	0.31892015199991874	true	5.678573	5.747375016013393	37.900288	963	5.277436256001238	0.2884814360004384
AIJ_Barman_EIGHT50_17.yml	true	22.712223	22.738447595998878	263.782400	151	22.24947802400129	0.29948174900346203	true	5.117924	5.139678389998153	36.745216	852	4.656792057998246	0.298651531978976
AIJ_Barman_EIGHT50_18.yml	true	22.626803	22.651567261003947	263.548928	275	22.179346779994376	0.29267398999945726	true	1.213781	1.2336812560097314	36.560896	224	0.7725034320028499	0.2857018430077005
AIJ_Barman_EIGHT50_19.yml	true	21.998379	22.02567983100016	263.634944	187	21.5457863240008	0.2961086229988723	true	2.427514	2.4486992050078698	36.552704	622	1.9971245980123058	0.27863644500030205
AIJ_Barman_EIGHT50_2.yml	true	28.411556	28.436904884001706	262.332416	1127	27.932720472002984	0.3186257170018507	true	8.509162	8.530120012990665	39.055360	1318	8.076582596026128	0.28108467199490406
AIJ_Barman_EIGHT50_20.yml	true	22.687872	22.713317711000855	263.700480	251	22.245824670004367	0.2906467610009713	true	3.708176	3.7306089969933964	45.170688	807	3.2740915659815073	0.2826838479959406
AIJ_Barman_EIGHT50_3.yml	true	27.611265	27.63472811700194	262.172672	1064	27.16165697699762	0.2897005060003721	true	8.013935	8.035413837002125	37.199872	1295	7.571342274983181	0.2887053369777277
AIJ_Barman_EIGHT50_4.yml	true	25.971553	25.996596137993038	262.254592	995	25.521031660995504	0.2909025240005576	true	5.606659	5.628278099000454	34.283520	1091	5.173230782005703	0.28319023401127197
AIJ_Barman_EIGHT50_5.yml	true	30.954709	30.977193437996903	262.348800	1256	30.52240665399586	0.28318320600374136	true	13.582014	13.601054061000468	38.739968	1557	13.151233272015816	0.2776815830147825
AIJ_Barman_EIGHT50_6.yml	true	48.905804	48.93028632400092	262.651904	1898	48.4345748850028	0.30552375499974005	true	90.546093	90.57646222200128	92.053504	3375	90.1142785300035	0.2858211359998677
AIJ_Barman_EIGHT50_7.yml	true	54.280026	54.30887817499752	262.721536	1936	53.83366170999943	0.2938094210039708	true	85.227109	85.25258015599684	67.178496	3271	84.79828633298166	0.27911579600186087
AIJ_Barman_EIGHT50_8.yml	true	56.308178	56.33196381699963	262.606848	2093	55.87355021199619	0.28697041099803755	true	377.898102	377.9704341170145	106.237952	5607	377.49414027799503	0.2962435820081737
AIJ_Barman_EIGHT50_9.yml	true	43.119599	43.14495207300206	262.656000	1927	42.637309468998865	0.3046508439947502	true	215.788983	215.82097192198853	73.416704	4844	215.3477467370103	0.289417906984454
AIJ_Barman_RING50_1.yml	true	16.781467	16.806722816996626	241.762304	807	16.342181445004826	0.28855777999706334	true	3.17197	3.1936210880230647	36.757504	960	2.739286608004477	0.28011189599055797
AIJ_Barman_RING50_10.yml	true	15.726314	15.74735952300398	242.438144	892	15.290239727997687	0.2855707570051891	true	5.326568	5.347302847978426	43.708416	1296	4.892144811979961	0.2827183729968965
AIJ_Barman_RING50_11.yml	true	16.226563	16.249164887994993	242.880512	805	15.78038124700106	0.2945007650050684	true	5.440541	5.461114667006768	42.504192	1192	4.997695290017873	0.290231262013549
AIJ_Barman_RING50_12.yml	true	16.43043	16.453090228998917	242.978816	880	15.988003995000327	0.29103455699805636	true	12.700167	12.72205955098616	48.123904	1752	12.247201111982577	0.2991239530092571
AIJ_Barman_RING50_13.yml	true	16.710913	16.732578795003064	242.876416	881	16.270510458998615	0.28521616400394123	true	7.622434	7.644172983011231	46.321664	1382	7.183625536010368	0.2872021440125536
AIJ_Barman_RING50_14.yml	true	17.124374	17.14882822200161	242.847744	963	16.665850835001038	0.2933983009934309	true	4.391107	4.411978424992412	50.085888	1212	3.948135813989211	0.28752257899031974
AIJ_Barman_RING50_15.yml	true	16.86223	16.885078282000904	242.995200	1029	16.424609679997957	0.28800590200262377	true	6.352405	6.375588789000176	51.900416	1421	5.899676625995198	0.2978198369964957
AIJ_Barman_RING50_16.yml	true	14.544936	14.567831366999599	243.347456	154	14.10573468200164	0.2898257630004082	true	3.504688	3.5261016020085663	39.034880	626	3.0688900020031724	0.28304038697388023
AIJ_Barman_RING50_17.yml	true	14.810785	14.838904384996567	243.249152	145	14.349616444997082	0.3016547409933992	true	3.50262	3.5223806030116975	38.293504	639	3.049808266980108	0.2974457140080631
AIJ_Barman_RING50_18.yml	true	14.463257	14.483912482006417	243.302400	180	14.021614471996145	0.28976619499735534	true	1.207627	1.229031930997735	36.335616	205	0.7627468299760949	0.29092826301348396
AIJ_Barman_RING50_19.yml	true	14.617212	14.638181720998546	243.212288	144	14.178744591001305	0.28773337900202023	true	2.019182	2.0381040740176104	37.040128	479	1.5761783740017563	0.28576416498981416
AIJ_Barman_RING50_2.yml	true	17.009494	17.033819153999502	241.881088	698	16.56461783999839	0.28813390499999514	true	3.262842	3.2845324980153237	36.626432	885	2.809337111975765	0.2961207570042461
AIJ_Barman_RING50_20.yml	true	14.649468	14.671606844996859	243.449856	165	14.22018764600216	0.2813558199995896	true	4.147292	4.168561939994106	45.494272	757	3.7048268459911924	0.28762281898525544
AIJ_Barman_RING50_3.yml	true	16.931662	16.95404970399977	241.860608	824	16.499050562000775	0.2805694039998343	true	4.235527	4.255140660010511	36.581376	979	3.7941434280073736	0.2891984629968647
AIJ_Barman_RING50_4.yml	true	16.285982	16.31208743100433	241.926144	706	15.842279866999888	0.2913947690030909	true	3.689874	3.7096795290126465	35.745792	857	3.2357207540189847	0.2984053750114981
AIJ_Barman_RING50_5.yml	true	17.81754	17.84022315799666	242.008064	975	17.38011120200099	0.28640715000074124	true	5.167878	5.187900285003707	37.892096	1122	4.733473483007401	0.2828647989954334
AIJ_Barman_RING50_6.yml	true	15.968568	15.990757765001035	242.282496	770	15.527541370996914	0.28776108299643965	true	4.491662	4.5139359470049385	44.335104	1098	4.052479128004052	0.28576886700466275
AIJ_Barman_RING50_7.yml	true	16.303557	16.329735148996406	242.405376	732	15.855001958996581	0.2931113179947715	true	2.923778	2.9451240489725024	38.559744	953	2.4833541469997726	0.28850513699580915
AIJ_Barman_RING50_8.yml	true	15.91443	15.934828962002939	242.262016	687	15.474210672000481	0.2886091030013631	true	3.765526	3.7871279260143638	39.288832	1020	3.3278785980073735	0.28142050601309165
