task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_Barman_EIGHT50_1.yml,pr2,true,True,16.026175,16.066372198052704,123.805696,1370.0,15.562510971911252,0.3031169883906841,"('AIJ', 'Barman', 'EIGHT50', '1')",AIJ,Barman,EIGHT50,Barman-EIGHT50,1
AIJ_Barman_EIGHT50_10.yml,pr2,true,True,15.246974,15.289513831026852,112.234496,3672.0,14.7807347769849,0.3069040756672621,"('AIJ', 'Barman', 'EIGHT50', '10')",AIJ,Barman,EIGHT50,Barman-EIGHT50,10
AIJ_Barman_EIGHT50_11.yml,pr2,true,True,68.21881,68.26670205406845,121.892864,19793.0,67.74803354311734,0.3165438757278025,"('AIJ', 'Barman', 'EIGHT50', '11')",AIJ,Barman,EIGHT50,Barman-EIGHT50,11
AIJ_Barman_EIGHT50_12.yml,pr2,true,True,104.457013,104.49121399689466,142.39744,23262.0,103.99130612192675,0.2978256782516837,"('AIJ', 'Barman', 'EIGHT50', '12')",AIJ,Barman,EIGHT50,Barman-EIGHT50,12
AIJ_Barman_EIGHT50_13.yml,pr2,true,True,114.35401,114.3910217108205,159.453184,31096.0,113.89075819589198,0.3015744462609291,"('AIJ', 'Barman', 'EIGHT50', '13')",AIJ,Barman,EIGHT50,Barman-EIGHT50,13
AIJ_Barman_EIGHT50_14.yml,pr2,true,True,56.638186,56.653311242349446,109.285376,15481.0,56.15130947623402,0.3013528049923479,"('AIJ', 'Barman', 'EIGHT50', '14')",AIJ,Barman,EIGHT50,Barman-EIGHT50,14
AIJ_Barman_EIGHT50_15.yml,pr2,true,True,126.414321,126.4390105009079,154.13248,25934.0,125.93048939295112,0.3075134460814297,"('AIJ', 'Barman', 'EIGHT50', '15')",AIJ,Barman,EIGHT50,Barman-EIGHT50,15
AIJ_Barman_EIGHT50_16.yml,pr2,true,True,17.31106,17.32613107934594,121.311232,196.0,16.803998103830963,0.3122251611202955,"('AIJ', 'Barman', 'EIGHT50', '16')",AIJ,Barman,EIGHT50,Barman-EIGHT50,16
AIJ_Barman_EIGHT50_17.yml,pr2,true,True,24.504877,24.528280301950872,183.054336,119.0,24.048314643092453,0.2927370769903064,"('AIJ', 'Barman', 'EIGHT50', '17')",AIJ,Barman,EIGHT50,Barman-EIGHT50,17
AIJ_Barman_EIGHT50_18.yml,pr2,true,True,25.835592,25.855959265027195,192.851968,259.0,25.36553875077516,0.3016742267645895,"('AIJ', 'Barman', 'EIGHT50', '18')",AIJ,Barman,EIGHT50,Barman-EIGHT50,18
AIJ_Barman_EIGHT50_19.yml,pr2,true,True,35.956198,35.96527787623927,217.300992,171.0,35.475930880755186,0.2942946888506412,"('AIJ', 'Barman', 'EIGHT50', '19')",AIJ,Barman,EIGHT50,Barman-EIGHT50,19
