set,domain,sub_domain,cov_lpg,cov_lpg_small,cov_pr2,cov_pr2_inv0,cov_prp,cov_prp_inv0,time_lpg,time_lpg_small,time_pr2,time_pr2_inv0,time_prp,time_prp_inv0,mem_lpg,mem_lpg_small,mem_pr2,mem_pr2_inv0,mem_prp,mem_prp_inv0,size_lpg,size_lpg_small,size_pr2,size_pr2_inv0,size_prp,size_prp_inv0
AIJ,Barman,EIGHT50,0.5,1.0,1.0,1.0,1.0,0.8,471.47,125.35,39.49,137.45,107.04,127.25,319.32,298.36,144.12,127.86,263.2,61.92,24468.7,13018.35,7096.9,14486.0,1854.6,2400.0
AIJ,Barman,RING50,0.95,1.0,1.0,1.0,1.0,1.0,166.52,10.57,29.57,9.36,16.07,4.7,322.09,278.36,247.45,51.01,242.62,41.55,1829.63,1858.75,631.85,941.3,665.75,1022.55
AIJ,Barman,RND50,0.25,0.55,0.75,0.75,0.7,0.45,439.73,244.7,27.54,413.11,295.07,399.65,308.17,324.24,84.67,175.98,119.67,148.26,28568.2,34688.64,6701.2,22645.33,2788.21,3852.22
AIJ,Barman,SCC56,0.1,0.35,0.75,0.35,0.6,0.25,527.75,100.46,167.95,368.13,436.51,61.51,305.6,285.46,104.64,158.56,103.62,45.15,37293.5,24015.71,15002.07,19546.43,3484.25,2297.6
AIJ,BlocksWorld,EIGHT4-51,1.0,1.0,1.0,1.0,1.0,1.0,61.65,4.21,27.33,0.87,11.94,0.74,296.25,267.56,196.43,39.06,175.76,33.55,98.82,106.53,233.65,233.53,207.94,208.29
AIJ,BlocksWorld,EIGHT50,1.0,1.0,1.0,1.0,1.0,1.0,58.82,14.87,67.41,50.97,30.91,7.48,282.02,288.19,136.14,122.27,324.14,190.53,3153.3,3360.5,8245.56,8150.56,3724.47,3664.71
AIJ,BlocksWorld,EIGHT6,1.0,1.0,1.0,1.0,1.0,1.0,7.62,2.25,53.76,61.08,3.08,1.93,275.72,275.16,50.6,81.39,156.1,136.69,310.09,342.78,4722.41,4801.0,366.63,313.45
AIJ,BlocksWorld,LIN10-110,1.0,1.0,1.0,1.0,1.0,1.0,148.36,8.45,2.89,1.72,1.83,1.21,296.13,267.89,49.34,41.62,37.4,37.74,229.1,273.05,449.44,454.59,445.36,445.15
AIJ,BlocksWorld,RING5-100,1.0,1.0,1.0,1.0,1.0,1.0,4.76,2.99,24.78,0.82,14.68,0.7,282.13,269.54,229.41,38.77,224.44,33.24,48.85,52.05,171.38,171.38,150.88,150.88
AIJ,BlocksWorld,RING50,1.0,1.0,1.0,1.0,1.0,1.0,5.97,4.83,95.0,74.23,17.58,3.29,281.5,292.85,248.31,104.57,374.23,211.89,1446.9,1501.3,6112.45,6285.52,1231.65,1187.68
AIJ,BlocksWorld,RING6,1.0,1.0,1.0,1.0,1.0,1.0,3.02,1.26,46.42,58.71,1.83,2.2,273.35,271.87,51.51,93.46,86.94,177.37,187.74,198.43,4641.12,4709.59,183.22,175.16
AIJ,BlocksWorld,RND3-23,1.0,1.0,1.0,1.0,1.0,1.0,101.72,5.88,14.47,1.07,3.18,1.02,295.43,266.81,120.49,39.76,39.5,40.0,159.81,180.62,334.52,334.9,319.23,319.23
AIJ,BlocksWorld,RND50,1.0,1.0,1.0,1.0,1.0,1.0,85.86,9.75,125.65,157.89,25.9,18.9,282.84,272.6,97.47,84.28,260.95,333.59,2859.7,2939.1,9354.43,9722.21,5414.97,4896.0
